country,prct_env_satis_high,prct_env_satis_med,prct_env_satis_low
Iceland,29.2,56.6,14.2
Norway,48.1,45.8,6.1
Switzerland,41.8,46.2,12
Turkey,18.3,42.3,39.5
Belgium,22.2,70.3,7.5
Bulgaria,8.4,32.6,59
Czechia,33.5,48.7,17.8
Denmark,52.2,36.9,10.9
Germany,40.9,43.1,15.9
Estonia,18.1,53.4,28.5
Ireland,43.7,46.2,10.1
Greece,18.3,45.2,36.5
Spain,23.7,58.9,17.4
France,27.9,61.6,10.5
Croatia,22.4,37.9,39.7
Italy,11,53.5,35.5
Cyprus,13.4,49.3,37.3
Latvia,26.2,54.7,19.1
Lithuania,42.1,44.9,13
Luxembourg,33.9,56.9,9.2
Hungary,15.8,51.9,32.3
Malta,31,46.3,22.7
Netherlands,31.3,64.7,4
Austria,57.2,33.3,9.5
Poland,39.7,42,18.2
Portugal,19.6,42.6,37.8
Romania,29.1,55.8,15
Slovenia,42.3,40.1,17.6
Slovakia,22.8,48.9,28.3
Finland,34.7,56.3,9
Sweden,34.7,51,14.4
United Kingdom,38.2,50.6,11.3
