country,prct_job_satis_high,prct_job_satis_med,prct_job_satis_low
Iceland,42.3,48,9.6
Norway,39.1,53.6,7.2
Switzerland,36.6,54.9,8.5
Turkey,18.3,39.5,42.2
Belgium,23,68.5,8.5
Bulgaria,16.1,36.1,47.7
Czechia,29.6,51.4,19
Denmark,44.4,46.4,9.2
Germany,25,50.7,24.3
Estonia,26.6,55.1,18.4
Ireland,28.3,51.7,20
Greece,14,48.3,37.7
Spain,19.4,59.1,21.5
France,20,64.7,15.4
Croatia,25.6,49,25.4
Italy,20.2,62.2,17.6
Cyprus,28.2,51.8,20
Latvia,25.8,56.9,17.3
Lithuania,29.6,55.4,15
Luxembourg,30.4,55.1,14.5
Hungary,23,55.7,21.3
Malta,27.2,59.7,13.1
Netherlands,22.9,71.7,5.4
Austria,42.2,47.6,10.2
Poland,32,48.2,19.8
Portugal,24.5,50.4,25.1
Romania,20.4,61.6,18
Slovenia,29.1,51.5,19.3
Slovakia,29.2,48.5,22.3
Finland,40.8,54.6,4.7
Sweden,34.5,52.5,13
United Kingdom,28,49.6,22.4
