country,prct_leisure_satis_high,prct_leisure_satis_med,prct_leisure_satis_low
Iceland,35,43,22
Norway,30.2,45.3,24.5
Switzerland,25.8,46.7,27.5
Turkey,12.2,36.4,51.5
Belgium,21.5,60.6,17.9
Bulgaria,14.6,33.9,51.5
Czechia,24.3,44.1,31.5
Denmark,41.4,40.9,17.7
Germany,24.2,42.5,33.3
Estonia,22.2,44.9,33
Ireland,29.1,42.3,28.6
Greece,11.6,52.2,36.2
Spain,21.2,49,29.7
France,23.3,51.4,25.2
Croatia,24.5,42.1,33.4
Italy,13.8,58.2,28
Cyprus,24,48,28.1
Latvia,21.4,57.8,20.8
Lithuania,22,52.4,25.6
Luxembourg,30,47.5,22.5
Hungary,15.4,49.4,35.2
Malta,23.6,46.1,30.3
Netherlands,18.9,75.2,5.9
Austria,35.3,41.4,23.3
Poland,27.8,42.3,29.9
Portugal,23.9,40.6,35.5
Romania,18,59.6,22.4
Slovenia,24.7,45.7,29.6
Slovakia,26.6,44,29.4
Finland,35.9,51.6,12.5
Sweden,33.2,44.9,21.9
United Kingdom,29,41.7,29.3
