country,prct_budget_veryhard,prct_budget_hard,prct_budget_somehard,prct_budget_someeasy,prct_budget_easy,prct_budget_veryeasy
Belgium,9.3,12.2,17.2,25.8,29,6.4
Bulgaria,28.9,32.8,28.5,7.3,2.1,0.3
Czechia,7.1,16.1,35.7,30.3,9.4,1.5
Denmark,3.2,6.8,16.9,30.7,26.2,16.1
Germany,2.3,4.6,9.6,39.4,32.2,12
Estonia,4.9,10.5,42.1,29.4,11.3,1.9
Ireland,12,15.4,36.7,25.4,7.7,2.7
Greece,40.6,36.2,17,4.4,1.5,0.3
Spain,16.6,19,27,25.4,11.1,0.9
France,4.2,15,39.8,26.8,12.2,1.9
Croatia,20.4,31,36.3,9.1,2.8,0.4
Italy,10.9,22.4,41.4,20.5,4.4,0.3
Cyprus,29.4,30.4,25.2,10.5,3.8,0.7
Latvia,12.4,26.9,38.7,16.5,4.6,0.9
Lithuania,6.9,22.7,50.4,16.3,3.4,0.3
Luxembourg,4.2,8.2,16.7,32.4,29.9,8.6
Hungary,17.1,25.7,38.1,15.6,3.1,0.4
Malta,6.7,13.2,24.6,40.3,13.5,1.6
Netherlands,3,9.6,15.1,19.2,41.1,12
Austria,4.3,8.5,26.1,29.7,21.4,9.9
Poland,8.4,16.4,38.2,26.5,8.3,2.2
Portugal,17,19.7,34.5,21.3,7,0.5
Romania,18.1,26,40.9,11.7,2.6,0.7
Slovenia,8,17.9,37.2,22.8,12.2,1.8
Slovakia,10.1,19.5,41.3,23.6,4.7,0.7
Finland,2.3,4.6,17.6,32.8,25.8,16.9
Sweden,3.1,4.5,11.1,33.1,26.1,22.1
United Kingdom,6.8,9.5,24.3,32.9,16.5,10
Iceland,6.2,7.9,20.9,34.9,15.7,14.3
Norway,2,3.4,8.7,29.8,33.9,22.2
Switzerland,3.7,8.9,16.5,29,30,11.9
Turkey,6.8,26.3,36.1,20.2,10.1,0.5
