country,prct_health_verygood,prct_health_good,prct_health_fair,prct_health_bad,prct_health_verybad
Austria,31.9,38.3,21.6,6.4,1.7
Belgium,29.8,43.9,17,7.2,2
Bulgaria,19.1,46.7,23.2,8.7,2.3
Switzerland,33.2,44.5,17.8,3.8,0.7
Cyprus,44.1,34.6,16.8,3.8,0.7
Czechia,18.6,41.8,27.9,9.7,2
Germany,18,47.2,26.5,6.9,1.4
Denmark,26.5,44.8,21.1,5.4,2.2
Estonia,9.3,43.6,32.7,12.5,1.9
Greece,45,29,15.6,7.5,2.8
Spain,15.6,56.9,20.6,5.5,1.4
Finland,20.2,50.1,23.8,5,0.9
France,21.9,44.5,25.5,7.1,1
Croatia,25.5,33.8,22.1,14.8,3.8
Hungary,17.6,42,27.1,10.4,2.8
Ireland,41.7,41.1,13.7,2.8,0.8
Iceland,38.3,37.7,17.4,5,1.5
Italy,10.5,60.4,21.4,6.4,1.3
Lithuania,6.6,36.8,39.6,14.2,2.7
Luxembourg,23.4,45.8,21.2,7.8,1.8
Latvia,5.1,42.1,37.2,12.6,3
Malta,22.3,50.6,23.9,2.6,0.5
Netherlands,22.5,53.4,19.2,4.2,0.7
Norway,28.8,48.4,15.1,6.4,1.3
Poland,15.9,42.7,27.8,11,2.7
Portugal,8.7,39,36.4,12.1,3.8
Romania,26.6,43.9,22.3,6,1.2
Sweden,29,46,19.2,4.5,1.2
Slovenia,20.3,44.2,25.5,8.2,1.7
Slovakia,22.4,44.1,21.8,9.1,2.6
Turkey,6.5,62.3,21.7,8.3,1.3
United Kingdom,30.8,38.1,22.2,6.9,1.9
