country,total_pop,prct_yng_adt_pop
Belgium,11000638,18.4851460433477
Bulgaria,7364570,18.4325765115954
Estonia,1294455,19.6883630562669
Ireland,4574888,20.6013349397843
Greece,10816286,17.604416155416
Spain,46815910,16.6743314398887
France,64933400,18.5275004851124
Croatia,4284889,18.5512623547541
Italy,59433744,15.4749732744415
Czechia,10436560,18.8624891726776
Cyprus,840407,23.3226282027637
Latvia,2070371,20.4428578259645
Lithuania,3043429,20.526780812038
Luxembourg,512353,18.9406522456197
Hungary,9937628,18.3451221961619
Malta,417432,20.5906590774066
Netherlands,16655799,18.2699791225867
Austria,8401940,18.6775435197109
Denmark,5560628,18.0820044066965
Poland,38044565,21.9158084735625
Portugal,10562178,17.0740447661458
Romania,20121641,18.7753275192615
Germany,80219695,17.105589842993
Slovenia,2050189,18.3087998228456
Slovakia,5397036,21.9085994608893
Finland,5375276,18.7139599901475
Sweden,9482855,19.3862924193189
United Kingdom,63182180,19.9423160137874
Iceland,315556,21.5933146573033
Norway,4979954,19.5865463817537
Switzerland,7954662,18.4457868857281
Turkey,7954662,18.7139599901475
