country,avg_temp,avg_high_temp,avg_low_temp,avg_precipitation,,,,,,,,,,,,
Austria,44.6,54.2,37.4,39.3,,,,,,,,,,,,
Belgium,48.8,55.5,42,33.1,,,,,,,,,,,,
Bulgaria,49.4,59.3,43.4,24.7,,,,,,,,,,,,
Croatia,55.1,62.3,48,41.1,,,,,,,,,,,,
Cyprus,66.1,75.1,57.5,15.4,,,,,,,,,,,,
Czechia,44.5,51.4,37.3,27.4,,,,,,,,,,,,
Denmark,46,51.4,41.6,23.9,,,,,,,,,,,,
Estonia,41.9,48.4,35.9,25.6,,,,,,,,,,,,
Finland,36.6,43.9,31.3,21.9,,,,,,,,,,,,
France,52.3,60.5,45.6,30.7,,,,,,,,,,,,
Germany,46.6,54,40.5,29.4,,,,,,,,,,,,
Greece,62.5,70.1,53.9,25.3,,,,,,,,,,,,
Hungary,50.3,58.3,42.7,22.7,,,,,,,,,,,,
Iceland,38.5,43.1,34.2,38.1,,,,,,,,,,,,
Ireland,49.4,55.2,44,40.8,,,,,,,,,,,,
Italy,56.3,63.8,49.1,30.4,,,,,,,,,,,,
Latvia,42.9,48.8,38.2,23.2,,,,,,,,,,,,
Lithuania,43.4,49.6,36.9,26.3,,,,,,,,,,,,
Luxembourg,46.7,54.6,41.2,32.4,,,,,,,,,,,,
Malta,65.7,72.3,59.1,22,,,,,,,,,,,,
Netherlands,49.2,55.1,43.7,29.7,,,,,,,,,,,,
Norway,39.8,44.1,33.8,44.2,,,,,,,,,,,,
Poland,44.6,56.2,33.8,24.6,,,,,,,,,,,,
Portugal,60.4,68.3,54.2,32.5,,,,,,,,,,,,
Romania,47.6,57.1,41.1,24.7,,,,,,,,,,,,
Slovakia,43.2,53,36,26.2,,,,,,,,,,,,
Slovenia,46.4,53.8,38.7,49.1,,,,,,,,,,,,
Spain,60,69.3,52.3,21.7,,,,,,,,,,,,
Sweden,40.3,46.7,33.6,22.6,,,,,,,,,,,,
Switzerland,42.5,50.8,35.8,46.7,,,,,,,,,,,,
Turkey,54.2,63.9,44.6,25.7,,,,,,,,,,,,
United Kingdom,48.8,55.3,42.9,29.7,,,,,,,,,,,,
